age,annual_income,credit_score,employment_years,num_late_payments,utilization_rate,num_credit_lines,loan_amount,loan_term_months,debt_to_income,home_ownership,loan_purpose,default
56,71719.9,559,6.3,0,0.216,9,8096.16,48,0.0282,MORTGAGE,MEDICAL,0
35,57039.09,634,0.1,2,0.3485,8,2417.11,60,0.0085,MORTGAGE,DEBT_CONSOLIDATION,0
47,29021.82,670,1.4,1,0.211,15,6802.18,36,0.0781,RENT,DEBT_CONSOLIDATION,0
23,58151.99,687,2.0,2,0.3926,3,21874.0,84,0.0537,MORTGAGE,DEBT_CONSOLIDATION,0
36,110921.44,497,17.0,2,0.7033,9,7260.59,12,0.0655,RENT,EDUCATION,1
40,32303.84,539,6.8,1,0.6197,9,18538.87,48,0.1435,OWN,MEDICAL,1
64,52977.7,770,4.5,0,0.2444,14,12810.6,72,0.0403,MORTGAGE,DEBT_CONSOLIDATION,0
31,49328.52,664,2.1,0,0.2938,2,9387.65,36,0.0634,MORTGAGE,DEBT_CONSOLIDATION,0
33,42241.05,679,0.5,0,0.4117,5,22368.3,48,0.1324,RENT,HOME_IMPROVEMENT,0
39,67775.87,573,1.2,1,0.2614,7,6237.83,84,0.0131,MORTGAGE,HOME_IMPROVEMENT,0
64,74731.18,679,3.4,0,0.0921,7,11772.0,36,0.0525,MORTGAGE,EDUCATION,0
58,74340.67,649,13.8,2,0.1432,7,38136.35,60,0.1026,OWN,HOME_IMPROVEMENT,0
23,36739.04,630,3.5,0,0.3924,4,14227.25,24,0.1936,RENT,DEBT_CONSOLIDATION,1
32,26291.69,563,5.4,1,0.0177,15,21307.82,12,0.8104,OWN,HOME_IMPROVEMENT,1
57,68267.85,610,11.7,0,0.5329,12,13519.39,12,0.198,RENT,DEBT_CONSOLIDATION,0
24,46492.23,837,2.9,2,0.2375,12,12166.96,36,0.0872,RENT,HOME_IMPROVEMENT,0
58,150114.89,652,5.0,0,0.1532,4,25634.03,36,0.0569,MORTGAGE,DEBT_CONSOLIDATION,0
34,153622.7,743,7.8,1,0.5175,9,2170.46,36,0.0047,MORTGAGE,DEBT_CONSOLIDATION,0
61,161998.91,664,9.6,2,0.3014,3,8491.43,72,0.0087,RENT,DEBT_CONSOLIDATION,0
34,37419.4,655,6.2,2,0.4573,4,14603.22,72,0.065,OWN,BUSINESS,1
40,79593.25,629,1.2,1,0.4676,1,21117.67,48,0.0663,MORTGAGE,EDUCATION,1
50,92547.4,787,3.4,0,0.1305,4,6191.84,12,0.0669,RENT,DEBT_CONSOLIDATION,0
27,87481.02,709,0.6,1,0.4774,7,27601.29,12,0.3155,RENT,BUSINESS,1
45,50151.37,616,2.3,2,0.5987,4,11918.3,72,0.0396,MORTGAGE,DEBT_CONSOLIDATION,0
43,113502.76,648,5.9,2,0.2798,17,13337.21,84,0.0168,OWN,DEBT_CONSOLIDATION,0
55,59888.36,766,2.4,0,0.3478,2,53979.92,84,0.1288,MORTGAGE,MEDICAL,0
64,63834.75,452,1.8,1,0.0378,1,22041.45,24,0.1726,OWN,BUSINESS,0
50,27752.56,704,2.7,1,0.4066,13,13902.05,48,0.1252,RENT,MEDICAL,0
39,82651.02,723,0.2,1,0.1577,1,19473.55,48,0.0589,OWN,EDUCATION,0
39,52564.39,620,16.6,3,0.3418,8,8834.1,48,0.042,MORTGAGE,BUSINESS,0
39,75537.87,692,2.0,0,0.0928,6,14930.09,24,0.0988,MORTGAGE,MEDICAL,0
57,67343.18,720,1.1,0,0.0506,6,47278.8,48,0.1755,MORTGAGE,EDUCATION,0
35,65543.43,581,2.0,1,0.0418,12,54562.98,48,0.2081,MORTGAGE,DEBT_CONSOLIDATION,0
29,58521.13,747,1.1,3,0.2059,12,4039.9,36,0.023,RENT,MEDICAL,0
36,88725.26,703,0.6,2,0.3519,17,17428.36,24,0.0982,RENT,MEDICAL,1
22,54206.37,667,5.3,0,0.3712,15,5814.58,60,0.0215,RENT,EDUCATION,0
26,28923.26,688,5.7,1,0.2716,7,6242.86,36,0.0719,MORTGAGE,BUSINESS,0
25,79576.79,736,2.0,0,0.4083,8,28439.61,48,0.0893,MORTGAGE,HOME_IMPROVEMENT,0
55,39954.53,850,0.3,1,0.186,8,20215.26,48,0.1265,OWN,DEBT_CONSOLIDATION,0
53,30880.16,728,13.2,3,0.5586,11,6116.91,60,0.0396,MORTGAGE,DEBT_CONSOLIDATION,0
51,35913.85,744,1.8,2,0.1148,15,21738.72,48,0.1513,MORTGAGE,HOME_IMPROVEMENT,0
41,68986.51,695,3.4,1,0.2646,4,20945.05,36,0.1012,RENT,BUSINESS,0
52,57053.27,832,2.5,1,0.4868,8,8702.98,72,0.0254,RENT,DEBT_CONSOLIDATION,0
28,20612.61,562,0.1,2,0.1377,4,45126.55,24,1.0,RENT,DEBT_CONSOLIDATION,1
60,49423.04,541,10.9,3,0.4697,13,14870.9,24,0.1504,MORTGAGE,DEBT_CONSOLIDATION,1
43,107432.24,692,1.1,0,0.2097,5,11466.89,72,0.0178,RENT,HOME_IMPROVEMENT,0
62,47779.51,732,2.7,1,0.5434,15,60000.0,36,0.4186,RENT,DEBT_CONSOLIDATION,1
28,55119.66,474,2.2,3,0.6287,3,21921.32,36,0.1326,MORTGAGE,DEBT_CONSOLIDATION,1
43,100860.71,679,4.9,2,0.0807,12,10609.92,12,0.1052,RENT,EDUCATION,0
51,89120.5,665,3.3,1,0.169,15,13022.85,48,0.0365,MORTGAGE,EDUCATION,0
43,99795.22,739,2.3,0,0.044,7,9228.13,60,0.0185,MORTGAGE,DEBT_CONSOLIDATION,0
41,20000.0,714,1.6,0,0.4322,12,7707.03,72,0.0642,OWN,HOME_IMPROVEMENT,0
29,142452.16,535,9.2,3,0.1474,9,20572.09,48,0.0361,RENT,HOME_IMPROVEMENT,0
38,82306.08,593,0.5,1,0.02,5,19769.09,72,0.04,OWN,DEBT_CONSOLIDATION,0
32,204994.45,615,0.0,0,0.2498,11,45918.04,60,0.0448,RENT,MEDICAL,1
34,40491.08,739,0.4,1,0.3556,16,9009.44,72,0.0371,MORTGAGE,EDUCATION,0
51,24791.96,709,4.9,2,0.0708,2,31079.94,72,0.2089,MORTGAGE,EDUCATION,0
49,60090.63,630,3.3,0,0.3106,1,6291.18,36,0.0349,RENT,HOME_IMPROVEMENT,0
48,52172.66,691,0.1,1,0.3022,3,14509.21,48,0.0695,RENT,DEBT_CONSOLIDATION,0
37,83019.6,595,1.8,2,0.1786,10,19225.36,12,0.2316,MORTGAGE,DEBT_CONSOLIDATION,1
63,102484.23,843,10.7,1,0.496,15,16582.5,12,0.1618,MORTGAGE,HOME_IMPROVEMENT,0
25,57317.02,725,2.2,1,0.0379,17,13787.58,48,0.0601,RENT,DEBT_CONSOLIDATION,0
36,53084.8,742,6.3,2,0.1733,4,7993.14,24,0.0753,RENT,BUSINESS,1
27,77758.25,790,9.9,1,0.0312,3,6940.75,72,0.0149,RENT,HOME_IMPROVEMENT,0
36,52671.81,761,17.2,3,0.3005,13,7601.37,72,0.0241,OWN,MEDICAL,0
63,50514.16,682,1.2,1,0.5919,7,11061.67,48,0.0547,RENT,MEDICAL,1
37,100565.8,665,1.5,0,0.1818,17,16150.02,12,0.1606,OWN,MEDICAL,0
61,112407.84,783,1.8,1,0.3568,1,9282.74,24,0.0413,OWN,MEDICAL,0
43,102948.39,682,6.6,0,0.1298,7,13817.34,36,0.0447,RENT,HOME_IMPROVEMENT,0
52,55043.83,620,2.1,0,0.3723,14,7451.31,24,0.0677,RENT,DEBT_CONSOLIDATION,0
41,20539.51,837,3.9,3,0.0929,2,22179.95,72,0.18,RENT,DEBT_CONSOLIDATION,0
33,55597.69,605,23.1,1,0.6671,6,19250.25,48,0.0866,MORTGAGE,DEBT_CONSOLIDATION,0
54,40986.99,541,4.6,1,0.2954,3,20577.12,72,0.0837,MORTGAGE,EDUCATION,1
63,56113.82,759,0.6,1,0.3695,8,14972.1,48,0.0667,OWN,HOME_IMPROVEMENT,0
33,42806.9,621,0.3,1,0.2822,7,39272.94,48,0.2294,MORTGAGE,MEDICAL,0
55,59256.46,714,3.9,0,0.184,3,7883.82,36,0.0443,RENT,HOME_IMPROVEMENT,0
33,35609.3,825,1.0,1,0.3233,7,17652.71,12,0.4957,MORTGAGE,MEDICAL,0
52,31559.86,570,6.0,0,0.2755,6,12215.99,72,0.0645,MORTGAGE,DEBT_CONSOLIDATION,0
55,110342.64,676,7.0,1,0.1732,9,11437.48,84,0.0148,RENT,EDUCATION,0
41,36870.65,798,3.0,2,0.2563,3,37009.14,84,0.1434,OWN,DEBT_CONSOLIDATION,0
53,59884.07,734,3.2,0,0.1998,12,17212.05,24,0.1437,OWN,DEBT_CONSOLIDATION,0
33,96496.06,665,2.5,1,0.2456,6,6669.14,48,0.0173,OWN,MEDICAL,1
25,94575.34,850,9.6,0,0.4354,1,5042.22,72,0.0089,MORTGAGE,DEBT_CONSOLIDATION,0
26,89091.94,672,0.8,1,0.591,15,11863.76,84,0.019,RENT,HOME_IMPROVEMENT,1
41,69663.6,711,0.4,1,0.3062,9,10571.32,48,0.0379,MORTGAGE,EDUCATION,0
60,85991.32,811,1.8,2,0.3511,13,10568.26,84,0.0176,RENT,EDUCATION,0
27,118960.18,758,5.7,1,0.1473,8,9949.62,60,0.0167,MORTGAGE,DEBT_CONSOLIDATION,0
41,74051.15,785,1.0,0,0.3968,10,6535.56,60,0.0177,OWN,DEBT_CONSOLIDATION,0
52,23894.39,608,1.4,1,0.3015,9,13803.83,48,0.1444,OWN,DEBT_CONSOLIDATION,1
30,45969.5,778,1.4,0,0.2041,6,41151.7,36,0.2984,RENT,DEBT_CONSOLIDATION,0
53,84811.38,693,1.1,1,0.4447,16,13705.84,72,0.0269,MORTGAGE,BUSINESS,1
35,43758.98,620,3.1,0,0.3641,10,9444.91,72,0.036,OWN,BUSINESS,0
56,134598.7,697,1.1,0,0.1475,7,11527.26,36,0.0285,OWN,DEBT_CONSOLIDATION,0
46,58012.29,695,2.2,0,0.0347,10,16157.75,12,0.2785,MORTGAGE,BUSINESS,1
45,62481.41,829,1.7,1,0.1424,7,34836.34,12,0.5575,MORTGAGE,DEBT_CONSOLIDATION,0
29,105068.95,710,15.9,0,0.3977,17,6377.38,36,0.0202,MORTGAGE,DEBT_CONSOLIDATION,0
41,54642.93,617,4.2,2,0.1291,11,5856.34,84,0.0153,MORTGAGE,MEDICAL,0
58,65390.91,599,3.2,1,0.133,1,29855.04,72,0.0761,MORTGAGE,DEBT_CONSOLIDATION,0
22,93860.2,676,18.5,2,0.4396,12,26900.92,12,0.2866,MORTGAGE,EDUCATION,0
54,28677.4,572,2.8,1,0.339,8,8525.11,36,0.0991,MORTGAGE,DEBT_CONSOLIDATION,0
43,51914.37,622,17.7,1,0.1452,7,22419.84,72,0.072,MORTGAGE,DEBT_CONSOLIDATION,0
52,90633.27,660,2.0,0,0.3089,17,16804.96,84,0.0265,MORTGAGE,DEBT_CONSOLIDATION,0
50,61870.58,646,20.8,1,0.2607,8,11992.75,72,0.0323,RENT,MEDICAL,0
40,124700.1,738,3.2,0,0.3051,13,14024.01,84,0.0161,MORTGAGE,MEDICAL,0
35,27229.01,620,0.7,2,0.0264,10,19445.53,12,0.7141,RENT,BUSINESS,1
48,25719.36,482,8.9,1,0.2238,6,60000.0,72,0.3888,MORTGAGE,MEDICAL,1
28,87978.11,545,5.5,0,0.2923,11,26344.46,84,0.0428,RENT,EDUCATION,1
47,92309.62,678,0.8,1,0.1282,8,21351.68,84,0.033,MORTGAGE,HOME_IMPROVEMENT,0
26,54359.52,633,1.2,0,0.2239,15,22540.18,72,0.0691,MORTGAGE,EDUCATION,0
49,73144.86,581,5.5,0,0.3038,7,5943.53,12,0.0813,RENT,HOME_IMPROVEMENT,0
49,86907.84,836,4.5,0,0.121,9,18473.8,60,0.0425,OWN,DEBT_CONSOLIDATION,0
25,39857.6,746,9.4,1,0.2095,12,8277.27,48,0.0519,MORTGAGE,MEDICAL,0
54,42048.37,675,7.0,2,0.0566,14,3485.51,72,0.0138,RENT,DEBT_CONSOLIDATION,0
39,65832.12,698,5.5,1,0.1586,11,32048.49,84,0.0695,MORTGAGE,DEBT_CONSOLIDATION,0
55,94093.52,658,2.2,2,0.5198,12,7726.59,24,0.0411,OWN,EDUCATION,0
23,33423.73,579,1.5,0,0.2686,2,4086.04,48,0.0306,RENT,MEDICAL,0
29,54231.99,762,3.0,0,0.1417,17,9569.1,24,0.0882,RENT,BUSINESS,0
43,52991.23,748,9.3,1,0.7354,3,4400.85,60,0.0166,MORTGAGE,MEDICAL,0
30,73790.08,521,8.0,2,0.2271,6,54895.69,60,0.1488,MORTGAGE,EDUCATION,1
36,59614.3,698,1.6,1,0.3997,10,42307.59,12,0.7097,MORTGAGE,HOME_IMPROVEMENT,1
50,45572.43,706,3.0,3,0.2552,7,11267.71,36,0.0824,MORTGAGE,DEBT_CONSOLIDATION,1
28,111779.44,654,16.6,0,0.2505,13,14615.7,84,0.0187,OWN,HOME_IMPROVEMENT,0
51,45723.66,847,15.4,1,0.4919,10,12164.66,60,0.0532,MORTGAGE,HOME_IMPROVEMENT,0
26,51738.21,839,7.1,1,0.1734,9,14273.35,36,0.092,MORTGAGE,DEBT_CONSOLIDATION,0
29,27017.8,649,4.4,1,0.1982,6,9049.88,48,0.0837,RENT,DEBT_CONSOLIDATION,0
47,41906.12,662,2.8,0,0.3683,7,12454.9,60,0.0594,RENT,DEBT_CONSOLIDATION,0
